county_fips,state_name,slope_drop_dist,mean_after_drop_dist,slope_last_fatigue_dist,slope_drop_visitation,mean_after_drop_visitation,slope_last_fatigue_visitation,slope_drop_encounters,mean_after_drop_encounters,slope_last_fatigue_encounters,median_household_income,prop_poor,pop_density_land,black_prop,proportion_essential,prop_coverage
5063,arkansas,-0.014825018,-0.306350777,0.005787082,-0.038865,-0.50086576,0.024593739,-0.03524129,-0.728618382,0.020025214,45596,0.145,18.83321817,0.02202877,0.388940706,0.87
5025,arkansas,-0.01371263,-0.319655172,0.003663423,,,,-0.03375339,-0.792213703,0.014720318,47600,0.155,5.313083763,0.114617111,0.738095238,0.73
5011,arkansas,-0.011776604,-0.273671203,0.003085042,,,,-0.027668688,-0.720515427,0.008396373,37729,0.217,6.510797369,0.272368542,0.383093525,0.88
5047,arkansas,-0.004417329,-0.144632205,0.001618359,,,,-0.06247316,-0.644720515,0.018137728,43696,0.183,11.27518456,0.008871421,0.463087248,0.79
5021,arkansas,-0.009165114,-0.297257779,0.006833818,-0.005841315,-0.132566219,0.024988228,-0.03011697,-0.594625827,0.019730105,37687,0.207,9.093629023,0.007476258,0.274579274,0.76
5089,arkansas,-0.010157546,-0.291395912,0.007863029,-0.00851527,-0.23299189,0.021452596,-0.018161999,-0.635610777,0.014989298,36581,0.187,10.63184711,0.00532233,0.414688427,0.7
5037,arkansas,-0.008518698,-0.248380309,0.006616238,-0.02682455,-0.41228964,0.032669561,-0.028513309,-0.623431648,0.020342853,41214,0.18,10.64756188,0.227212761,0.327257999,0.89
5005,arkansas,-0.011518294,-0.312154625,0.007588032,-0.014737011,-0.333740628,0.029620246,-0.021968228,-0.574862646,0.042807751,39686,0.151,28.71527107,0.003508013,0.397122302,0.69
5059,arkansas,-0.003870782,-0.126367194,0.003253307,-0.015360588,-0.373444289,0.013996892,-0.021480184,-0.565229492,0.029756708,47205,0.187,21.03703075,0.111391353,0.358174655,0.82
5057,arkansas,-0.007287246,-0.236557964,0.009478722,-0.026896725,-0.390671947,0.016957082,-0.019820339,-0.625312355,0.033688078,38682,0.206,11.68517302,0.296352514,0.446692991,0.89
5075,arkansas,-0.007469837,-0.210400718,0.006029654,-0.008060596,-0.241539382,0.02261526,-0.022539324,-0.61455024,0.022419724,40308,0.177,10.95289483,0.011804795,0.437881874,0.78
5053,arkansas,-0.009130931,-0.199187132,0.003364276,-0.020396716,-0.457266035,0.020074226,-0.034219455,-0.743449349,0.014994035,52050,0.131,11.05241582,0.026775896,0.274215553,0.83
5115,arkansas,-0.008743574,-0.149742932,0.005486532,-0.052753942,-0.589147592,0.015154772,-0.039312434,-0.732849632,0.024885128,45788,0.16,30.24304863,0.031703125,0.430844925,0.88
5121,arkansas,-0.007933397,-0.232801999,0.005196004,-0.011279854,-0.228826738,0.014771846,-0.028039623,-0.680878138,0.01891074,37799,0.174,10.42059243,0.00991754,0.602818706,0.75
5023,arkansas,-0.016766531,-0.345515868,0.005861727,-0.012512454,-0.294485539,0.017519859,-0.064177869,-0.716682428,0.008752739,44902,0.146,17.5920795,0.003645103,0.378655526,0.8
5145,arkansas,-0.01188003,-0.219943623,0.008337964,-0.030899334,-0.43796494,0.0119067,-0.032736228,-0.725394687,0.021812111,44811,0.166,29.39513161,0.044559046,0.405096452,0.88
5095,arkansas,-0.00392724,-0.158038458,0.002578424,-0.014285047,-0.354348691,0.013498276,-0.022084734,-0.628480766,0.019690615,32922,0.26,4.609912671,0.396086957,0.272158498,0.81
5123,arkansas,-0.007763149,-0.04950243,0.001397049,-0.014815323,-0.313121596,0.024642007,-0.01666267,-0.606839967,0.026087128,33257,0.356,15.99262769,0.522858603,0.450432277,0.73
5031,arkansas,-0.016013431,-0.262990379,0.006759524,-0.065303441,-0.611475428,0.012491238,-0.033821159,-0.791683322,0.018963363,45615,0.179,57.70123977,0.160292194,0.363757022,1
5009,arkansas,-0.016047393,-0.322816186,0.006019673,-0.012515456,-0.339771438,0.021247421,-0.028096222,-0.717872164,0.02818851,44482,0.148,24.40204536,0.003628602,0.449842481,0.8
